PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,method_category,deep_learning_method
38577575,Develop prediction model to help forecast advanced prostate cancer patients' prognosis after surgery using neural network,"Li S, Cai S, Huang J, Li Z, Shi Z, Zhang K, Jiao J, Li W, Pan Y.",Front Endocrinol (Lausanne). 2024 Mar 21;15:1293953. doi: 10.3389/fendo.2024.1293953. eCollection 2024.,Li S,Front Endocrinol (Lausanne),2024,2024/04/05,PMC10991752,,10.3389/fendo.2024.1293953,"BACKGROUND: The effect of surgery on advanced prostate cancer (PC) is unclear and predictive model for postoperative survival is lacking yet.
METHODS: We investigate the National Cancer Institute's Surveillance, Epidemiology, and End Results (SEER) database, to collect clinical features of advanced PC patients. According to clinical experience, age, race, grade, pathology, T, N, M, stage, size, regional nodes positive, regional nodes examined, surgery, radiotherapy, chemotherapy, history of malignancy, clinical Gleason score (composed of needle core biopsy or transurethral resection of the prostate specimens), pathological Gleason score (composed of prostatectomy specimens) and prostate-specific antigen (PSA) are the potential predictive variables. All samples are divided into train cohort (70% of total, for model training) and test cohort (30% of total, for model validation) by random sampling. We then develop neural network to predict advanced PC patients' overall. Area under receiver operating characteristic curve (AUC) is used to evaluate model's performance.
RESULTS: 6380 patients, diagnosed with advanced (stage III-IV) prostate cancer and receiving surgery, have been included. The model using all collected clinical features as predictors and based on neural network algorithm performs best, which scores 0.7058 AUC (95% CIs, 0.7021-0.7068) in train cohort and 0.6925 AUC (95% CIs, 0.6906-0.6956) in test cohort. We then package it into a Windows 64-bit software.
CONCLUSION: Patients with advanced prostate cancer may benefit from surgery. In order to forecast their overall survival, we first build a clinical features-based prognostic model. This model is accuracy and may offer some reference on clinical decision making.",other,Not specified
38504089,The development of a prediction model based on deep learning for prognosis prediction of gastrointestinal stromal tumor: a SEER-based study,"Zeng J, Li K, Cao F, Zheng Y.",Sci Rep. 2024 Mar 19;14(1):6609. doi: 10.1038/s41598-024-56701-2.,Zeng J,Sci Rep,2024,2024/03/20,PMC10951333,,10.1038/s41598-024-56701-2,"Accurately predicting the prognosis of Gastrointestinal stromal tumor (GIST) patients is an important task. The goal of this study was to create and assess models for GIST patients' survival patients using the Surveillance, Epidemiology, and End Results Program (SEER) database based on the three different deep learning models. Four thousand five hundred thirty-eight patients were enrolled in this study and divided into training and test cohorts with a 7:3 ratio; the training cohort was used to develop three different models, including Cox regression, RSF, and DeepSurv model. Test cohort was used to evaluate model performance using c-index, Brier scores, calibration, and the area under the curve (AUC). The net benefits at risk score stratification of GIST patients based on the optimal model was compared with the traditional AJCC staging system using decision curve analysis (DCA). The clinical usefulness of risk score stratification compared to AJCC tumor staging was further assessed using the Net Reclassification Index (NRI) and Integrated Discrimination Improvement (IDI). The DeepSurv model predicted cancer-specific survival (CSS) in GIST patients showed a higher c-index (0.825), lower Brier scores (0.142), and greater AUC of receiver operating characteristic (ROC) analysis (1-year ROC:0.898; 3-year:0.853, and 5-year ROC: 0.856). The calibration plots demonstrated good agreement between the DeepSurv model's forecast and actual results. The NRI values ( training cohort: 0.425 for 1-year, 0.329 for 3-year and 0.264 for 5-year CSS prediction; test cohort:0.552 for 1-year,0.309 for 3-year and 0.255 for 5-year CSS prediction) and IDI (training cohort: 0.130 for 1-year,0.141 for 5-year and 0.155 for 10-year CSS prediction; test cohort: 0.154 for 1-year,0.159 for 3-year and 0.159 for 5-year CSS prediction) indicated that the risk score stratification performed significantly better than the AJCC staging alone (P < 0.001). DCA demonstrated the risk score stratification as more clinically beneficial and discriminatory than AJCC staging. Finally, an interactive native web-based prediction tool was constructed for the survival prediction of GIST patients. This study established a high-performance prediction model for projecting GIST patients based on deep learning, which has advantages in predicting each person's prognosis and risk stratification.",other,Not specified
38491804,Construction and validation of machine learning models for predicting distant metastases in newly diagnosed colorectal cancer patients: A large-scale and real-world cohort study,"Wei R, Yu G, Wang X, Jiang Z, Guan X.",Cancer Med. 2024 Mar;13(5):e6971. doi: 10.1002/cam4.6971.,Wei R,Cancer Med,2024,2024/03/16,PMC10943273,,10.1002/cam4.6971,"BACKGROUND: More accurate prediction of distant metastases (DM) in patients with colorectal cancer (CRC) would optimize individualized treatment and follow-up strategies. Multiple prediction models based on machine learning have been developed to assess the likelihood of developing DM.
METHODS: Clinicopathological features of patients with CRC were obtained from the National Cancer Center (NCC, China) and the Surveillance, Epidemiology, and End Results (SEER) database. The algorithms used to create the prediction models included random forest (RF), logistic regression, extreme gradient boosting, deep neural networks, and the K-Nearest Neighbor machine. The prediction models' performances were evaluated using receiver operating characteristic (ROC) curves.
RESULTS: In total, 200,958 patients, 3241 from NCC and 197,717 CRC from SEER were identified, of whom 21,736 (10.8%) developed DM. The machine-learning-based prediction models for DM were constructed with 12 features remaining after iterative filtering. The RF model performed the best, with areas under the ROC curve of 0.843, 0.793, and 0.806, respectively, on the training, test, and external validation sets. For the risk stratification analysis, the patients were separated into high-, middle-, and low-risk groups according to their risk scores. Patients in the high-risk group had the highest incidence of DM and the worst prognosis. Surgery, chemotherapy, and radiotherapy could significantly improve the prognosis of the high-risk and middle-risk groups, whereas the low-risk group only benefited from surgery and chemotherapy.
CONCLUSION: The RF-based model accurately predicted the likelihood of DM and identified patients with CRC in the high-risk group, providing guidance for personalized clinical decision-making.",other,Not specified
38448849,Development and validation of a deep learning model for predicting postoperative survival of patients with gastric cancer,"Wu M, Yang X, Liu Y, Han F, Li X, Wang J, Guo D, Tang X, Lin L, Liu C.",BMC Public Health. 2024 Mar 6;24(1):723. doi: 10.1186/s12889-024-18221-6.,Wu M,BMC Public Health,2024,2024/03/06,PMC10916254,,10.1186/s12889-024-18221-6,"BACKGROUND: Deep learning (DL), a specialized form of machine learning (ML), is valuable for forecasting survival in various diseases. Its clinical applicability in real-world patients with gastric cancer (GC) has yet to be extensively validated.
METHODS: A combined cohort of 11,414 GC patients from the Surveillance, Epidemiology and End Results (SEER) database and 2,846 patients from a Chinese dataset were utilized. The internal validation of different algorithms, including DL model, traditional ML models, and American Joint Committee on Cancer (AJCC) stage model, was conducted by training and testing sets on the SEER database, followed by external validation on the Chinese dataset. The performance of the algorithms was assessed using the area under the receiver operating characteristic curve, decision curve, and calibration curve.
RESULTS: DL model demonstrated superior performance in terms of the area under the curve (AUC) at 1, 3, and, 5 years post-surgery across both datasets, surpassing other ML models and AJCC stage model, with AUCs of 0.77, 0.80, and 0.82 in the SEER dataset and 0.77, 0.76, and 0.75 in the Chinese dataset, respectively. Furthermore, decision curve analysis revealed that the DL model yielded greater net gains at 3 years than other ML models and AJCC stage model, and calibration plots at 3 years indicated a favorable level of consistency between the ML and actual observations during external validation.
CONCLUSIONS: DL-based model was established to accurately predict the survival rate of postoperative patients with GC.",other,Not specified
38365300,Pattern Recognition and Anomaly Detection in fetal morphology using Deep Learning and Statistical learning (PARADISE): protocol for the development of an intelligent decision support system using fetal morphology ultrasound scan to detect fetal congenital anomaly detection,"Belciug S, Ivanescu RC, Serbanescu MS, Ispas F, Nagy R, Comanescu CM, Istrate-Ofiteru A, Iliescu DG.",BMJ Open. 2024 Feb 15;14(2):e077366. doi: 10.1136/bmjopen-2023-077366.,Belciug S,BMJ Open,2024,2024/02/16,PMC10875539,,10.1136/bmjopen-2023-077366,"INTRODUCTION: Congenital anomalies are the most encountered cause of fetal death, infant mortality and morbidity. 7.9 million infants are born with congenital anomalies yearly. Early detection of congenital anomalies facilitates life-saving treatments and stops the progression of disabilities. Congenital anomalies can be diagnosed prenatally through morphology scans. A correct interpretation of the morphology scan allows a detailed discussion with the parents regarding the prognosis. The central feature of this project is the development of a specialised intelligent system that uses two-dimensional ultrasound movies obtained during the standard second trimester morphology scan to identify congenital anomalies in fetuses.
METHODS AND ANALYSIS: The project focuses on three pillars: committee of deep learning and statistical learning algorithms, statistical analysis, and operational research through learning curves. The cross-sectional study is divided into a training phase where the system learns to detect congenital anomalies using fetal morphology ultrasound scan, and then it is tested on previously unseen scans. In the training phase, the intelligent system will learn to answer the following specific objectives: (a) the system will learn to guide the sonographer's probe for better acquisition; (b) the fetal planes will be automatically detected, measured and stored and (c) unusual findings will be signalled. During the testing phase, the system will automatically perform the above tasks on previously unseen videos.Pregnant patients in their second trimester admitted for their routine scan will be consecutively included in a 32-month study (4 May 2022-31 December 2024). The number of patients is 4000, enrolled by 10 doctors/sonographers. We will develop an intelligent system that uses multiple artificial intelligence algorithms that interact between themselves, in bulk or individual. For each anatomical part, there will be an algorithm in charge of detecting it, followed by another algorithm that will detect whether anomalies are present or not. The sonographers will validate the findings at each intermediate step.
ETHICS AND DISSEMINATION: All protocols and the informed consent form comply with the Health Ministry and professional society ethics guidelines. The University of Craiova Ethics Committee has approved this study protocol as well as the Romanian Ministry of Research Innovation and Digitization that funded this research. The study will be implemented and reported in line with the STROBE (STrengthening the Reporting of OBservational studies in Epidemiology) statement.
TRIAL REGISTRATION NUMBER: The study is registered under the name 'Pattern recognition and Anomaly Detection in fetal morphology using Deep Learning and Statistical Learning', project number 101PCE/2022, project code PN-III-P4-PCE-2021-0057.
TRIAL REGISTRATION: ClinicalTrials.gov, unique identifying number NCT05738954, date of registration: 2 November 2023.",other,Not specified
38287149,Survival prediction of glioblastoma patients using modern deep learning and machine learning techniques,"Babaei Rikan S, Sorayaie Azar A, Naemi A, Bagherzadeh Mohasefi J, Pirnejad H, Wiil UK.",Sci Rep. 2024 Jan 29;14(1):2371. doi: 10.1038/s41598-024-53006-2.,Babaei Rikan S,Sci Rep,2024,2024/01/29,PMC10824760,,10.1038/s41598-024-53006-2,"In this study, we utilized data from the Surveillance, Epidemiology, and End Results (SEER) database to predict the glioblastoma patients' survival outcomes. To assess dataset skewness and detect feature importance, we applied Pearson's second coefficient test of skewness and the Ordinary Least Squares method, respectively. Using two sampling strategies, holdout and five-fold cross-validation, we developed five machine learning (ML) models alongside a feed-forward deep neural network (DNN) for the multiclass classification and regression prediction of glioblastoma patient survival. After balancing the classification and regression datasets, we obtained 46,340 and 28,573 samples, respectively. Shapley additive explanations (SHAP) were then used to explain the decision-making process of the best model. In both classification and regression tasks, as well as across holdout and cross-validation sampling strategies, the DNN consistently outperformed the ML models. Notably, the accuracy were 90.25% and 90.22% for holdout and five-fold cross-validation, respectively, while the corresponding R2 values were 0.6565 and 0.6622. SHAP analysis revealed the importance of age at diagnosis as the most influential feature in the DNN's survival predictions. These findings suggest that the DNN holds promise as a practical auxiliary tool for clinicians, aiding them in optimal decision-making concerning the treatment and care trajectories for glioblastoma patients.",other,Not specified
38189575,Deep Learning and Likelihood Approaches for Viral Phylogeography Converge on the Same Answers Whether the Inference Model Is Right or Wrong,"Thompson A, Liebeskind BJ, Scully EJ, Landis MJ.",Syst Biol. 2024 May 27;73(1):183-206. doi: 10.1093/sysbio/syad074.,Thompson A,Syst Biol,2024,2024/01/08,PMC11249978,,10.1093/sysbio/syad074,"Analysis of phylogenetic trees has become an essential tool in epidemiology. Likelihood-based methods fit models to phylogenies to draw inferences about the phylodynamics and history of viral transmission. However, these methods are often computationally expensive, which limits the complexity and realism of phylodynamic models and makes them ill-suited for informing policy decisions in real-time during rapidly developing outbreaks. Likelihood-free methods using deep learning are pushing the boundaries of inference beyond these constraints. In this paper, we extend, compare, and contrast a recently developed deep learning method for likelihood-free inference from trees. We trained multiple deep neural networks using phylogenies from simulated outbreaks that spread among 5 locations and found they achieve close to the same levels of accuracy as Bayesian inference under the true simulation model. We compared robustness to model misspecification of a trained neural network to that of a Bayesian method. We found that both models had comparable performance, converging on similar biases. We also implemented a method of uncertainty quantification called conformalized quantile regression that we demonstrate has similar patterns of sensitivity to model misspecification as Bayesian highest posterior density (HPD) and greatly overlap with HPDs, but have lower precision (more conservative). Finally, we trained and tested a neural network against phylogeographic data from a recent study of the SARS-Cov-2 pandemic in Europe and obtained similar estimates of region-specific epidemiological parameters and the location of the common ancestor in Europe. Along with being as accurate and robust as likelihood-based methods, our trained neural networks are on average over 3 orders of magnitude faster after training. Our results support the notion that neural networks can be trained with simulated data to accurately mimic the good and bad statistical properties of the likelihood functions of generative phylogenetic models.",other,Not specified
38177661,The clinical implication and translational research of OSCC differentiation,"Shang Q, Jiang Y, Wan Z, Peng J, Xu Z, Li W, Yang D, Zhao H, Xu X, Zhou Y, Zeng X, Chen Q, Xu H.",Br J Cancer. 2024 Mar;130(4):660-670. doi: 10.1038/s41416-023-02566-7. Epub 2024 Jan 5.,Shang Q,Br J Cancer,2024,2024/01/04,PMC10876927,,10.1038/s41416-023-02566-7,"BACKGROUND: The clinical value and molecular characteristics of tumor differentiation in oral squamous cell carcinoma (OSCC) remain unclear. There is a lack of a related molecular classification prediction system based on pathological images for precision medicine.
METHODS: Integration of epidemiology, genomics, experiments, and deep learning to clarify the clinical value and molecular characteristics, and develop a novel OSCC molecular classification prediction system.
RESULTS: Large-scale epidemiology data (n = 118,817) demonstrated OSCC differentiation was a significant prognosis indicator (p < 0.001), and well-differentiated OSCC was more chemo-resistant than poorly differentiated OSCC. These results were confirmed in the TCGA database and in vitro. Furthermore, we found chemo-resistant related pathways and cell cycle-related pathways were up-regulated in well- and poorly differentiated OSCC, respectively. Based on the characteristics of OSCC differentiation, a molecular grade of OSCC was obtained and combined with pathological images to establish a novel prediction system through deep learning, named ShuffleNetV2-based Molecular Grade of OSCC (SMGO). Importantly, our independent multi-center cohort of OSCC (n = 340) confirmed the high accuracy of SMGO.
CONCLUSIONS: OSCC differentiation was a significant indicator of prognosis and chemotherapy selection. Importantly, SMGO could be an indispensable reference for OSCC differentiation and assist the decision-making of chemotherapy.",other,Not specified
38167550,Clinical correlates of CT imaging-derived phenotypes among lean and overweight patients with hepatic steatosis,"Song I, Thompson EW, Verma A, MacLean MT, Duda J, Elahi A, Tran R, Raghupathy P, Swago S, Hazim M, Bhattaru A, Schneider C, Vujkovic M, Torigian DA, Kahn CE, Gee JC, Borthakur A, Kripke CM, Carson CC, Carr R, Jehangir Q, Ko YA, Litt H, Rosen M, Mankoff DA, Schnall MD, Shou H, Chirinos J, Damrauer SM, Serper M, Chen J, Rader DJ; Penn Medicine BioBank; Witschey WRT, Sagreiya H.",Sci Rep. 2024 Jan 2;14(1):53. doi: 10.1038/s41598-023-49470-x.,Song I,Sci Rep,2024,2024/01/03,PMC10761858,,10.1038/s41598-023-49470-x,"The objective of this study is to define CT imaging derived phenotypes for patients with hepatic steatosis, a common metabolic liver condition, and determine its association with patient data from a medical biobank. There is a need to further characterize hepatic steatosis in lean patients, as its epidemiology may differ from that in overweight patients. A deep learning method determined the spleen-hepatic attenuation difference (SHAD) in Hounsfield Units (HU) on abdominal CT scans as a quantitative measure of hepatic steatosis. The patient cohort was stratified by BMI with a threshold of 25 kg/m2 and hepatic steatosis with threshold SHAD ≥  - 1 HU or liver mean attenuation ≤ 40 HU. Patient characteristics, diagnoses, and laboratory results representing metabolism and liver function were investigated. A phenome-wide association study (PheWAS) was performed for the statistical interaction between SHAD and the binary characteristic LEAN. The cohort contained 8914 patients-lean patients with (N = 278, 3.1%) and without (N = 1867, 20.9%) steatosis, and overweight patients with (N = 1863, 20.9%) and without (N = 4906, 55.0%) steatosis. Among all lean patients, those with steatosis had increased rates of cardiovascular disease (41.7 vs 27.8%), hypertension (86.7 vs 49.8%), and type 2 diabetes mellitus (29.1 vs 15.7%) (all p &lt; 0.0001). Ten phenotypes were significant in the PheWAS, including chronic kidney disease, renal failure, and cardiovascular disease. Hepatic steatosis was found to be associated with cardiovascular, kidney, and metabolic conditions, separate from overweight BMI.",other,Not specified
38101690,Deep learning uncertainty quantification for clinical text classification,"Peluso A, Danciu I, Yoon HJ, Yusof JM, Bhattacharya T, Spannaus A, Schaefferkoetter N, Durbin EB, Wu XC, Stroup A, Doherty J, Schwartz S, Wiggins C, Coyle L, Penberthy L, Tourassi GD, Gao S.",J Biomed Inform. 2024 Jan;149:104576. doi: 10.1016/j.jbi.2023.104576. Epub 2023 Dec 13.,Peluso A,J Biomed Inform,2024,2023/12/15,PMC11467893,NIHMS1951939,10.1016/j.jbi.2023.104576,"INTRODUCTION: Machine learning algorithms are expected to work side-by-side with humans in decision-making pipelines. Thus, the ability of classifiers to make reliable decisions is of paramount importance. Deep neural networks (DNNs) represent the state-of-the-art models to address real-world classification. Although the strength of activation in DNNs is often correlated with the network's confidence, in-depth analyses are needed to establish whether they are well calibrated.
METHOD: In this paper, we demonstrate the use of DNN-based classification tools to benefit cancer registries by automating information extraction of disease at diagnosis and at surgery from electronic text pathology reports from the US National Cancer Institute (NCI) Surveillance, Epidemiology, and End Results (SEER) population-based cancer registries. In particular, we introduce multiple methods for selective classification to achieve a target level of accuracy on multiple classification tasks while minimizing the rejection amount-that is, the number of electronic pathology reports for which the model's predictions are unreliable. We evaluate the proposed methods by comparing our approach with the current in-house deep learning-based abstaining classifier.
RESULTS: Overall, all the proposed selective classification methods effectively allow for achieving the targeted level of accuracy or higher in a trade-off analysis aimed to minimize the rejection rate. On in-distribution validation and holdout test data, with all the proposed methods, we achieve on all tasks the required target level of accuracy with a lower rejection rate than the deep abstaining classifier (DAC). Interpreting the results for the out-of-distribution test data is more complex; nevertheless, in this case as well, the rejection rate from the best among the proposed methods achieving 97% accuracy or higher is lower than the rejection rate based on the DAC.
CONCLUSIONS: We show that although both approaches can flag those samples that should be manually reviewed and labeled by human annotators, the newly proposed methods retain a larger fraction and do so without retraining-thus offering a reduced computational cost compared with the in-house deep learning-based abstaining classifier.",other,Not specified
38074785,External Evaluation of a Mammography-based Deep Learning Model for Predicting Breast Cancer in an Ethnically Diverse Population,"Omoleye OJ, Woodard AE, Howard FM, Zhao F, Yoshimatsu TF, Zheng Y, Pearson AT, Levental M, Aribisala BS, Kulkarni K, Karczmar GS, Olopade OI, Abe H, Huo D.",Radiol Artif Intell. 2023 Jul 26;5(6):e220299. doi: 10.1148/ryai.220299. eCollection 2023 Nov.,Omoleye OJ,Radiol Artif Intell,2023,2023/12/11,PMC10698602,,10.1148/ryai.220299,"PURPOSE: To externally evaluate a mammography-based deep learning (DL) model (Mirai) in a high-risk racially diverse population and compare its performance with other mammographic measures.
MATERIALS AND METHODS: A total of 6435 screening mammograms in 2096 female patients (median age, 56.4 years ± 11.2 [SD]) enrolled in a hospital-based case-control study from 2006 to 2020 were retrospectively evaluated. Pathologically confirmed breast cancer was the primary outcome. Mirai scores were the primary predictors. Breast density and Breast Imaging Reporting and Data System (BI-RADS) assessment categories were comparative predictors. Performance was evaluated using area under the receiver operating characteristic curve (AUC) and concordance index analyses.
RESULTS: Mirai achieved 1- and 5-year AUCs of 0.71 (95% CI: 0.68, 0.74) and 0.65 (95% CI: 0.64, 0.67), respectively. One-year AUCs for nondense versus dense breasts were 0.72 versus 0.58 (P = .10). There was no evidence of a difference in near-term discrimination performance between BI-RADS and Mirai (1-year AUC, 0.73 vs 0.68; P = .34). For longer-term prediction (2-5 years), Mirai outperformed BI-RADS assessment (5-year AUC, 0.63 vs 0.54; P &lt; .001). Using only images of the unaffected breast reduced the discriminatory performance of the DL model (P &lt; .001 at all time points), suggesting that its predictions are likely dependent on the detection of ipsilateral premalignant patterns.
CONCLUSION: A mammography DL model showed good performance in a high-risk external dataset enriched for African American patients, benign breast disease, and BRCA mutation carriers, and study findings suggest that the model performance is likely driven by the detection of precancerous changes.Keywords: Breast, Cancer, Computer Applications, Convolutional Neural Network, Deep Learning Algorithms, Informatics, Epidemiology, Machine Learning, Mammography, Oncology, Radiomics Supplemental material is available for this article. © RSNA, 2023See also commentary by Kontos and Kalpathy-Cramer in this issue.",other,Not specified
38046002,A deep learning system for retinal vessel calibre improves cardiovascular risk prediction in Asians with chronic kidney disease,"Lim CC, Chong C, Tan G, Tan CS, Cheung CY, Wong TY, Cheng CY, Sabanayagam C.",Clin Kidney J. 2023 Sep 19;16(12):2693-2702. doi: 10.1093/ckj/sfad227. eCollection 2023 Dec.,Lim CC,Clin Kidney J,2023,2023/12/04,PMC10689182,,10.1093/ckj/sfad227,"BACKGRAUND: Cardiovascular disease (CVD) and mortality is elevated in chronic kidney disease (CKD). Retinal vessel calibre in retinal photographs is associated with cardiovascular risk and automated measurements may aid CVD risk prediction.
METHODS: Retrospective cohort study of 860 Chinese, Malay and Indian participants aged 40-80 years with CKD [estimated glomerular filtration rate (eGFR) &lt;60 ml/min/1.73 m2] who attended the baseline visit (2004-2011) of the Singapore Epidemiology of Eye Diseases Study. Retinal vessel calibre measurements were obtained by a deep learning system (DLS). Incident CVD [non-fatal acute myocardial infarction (MI) and stroke, and death due to MI, stroke and other CVD] in those who were free of CVD at baseline was ascertained until 31 December 2019. Risk factors (established, kidney, and retinal features) were examined using Cox proportional hazards regression models. Model performance was assessed for discrimination, fit, and net reclassification improvement (NRI).
RESULTS: Incident CVD occurred in 289 (33.6%) over mean follow-up of 9.3 (4.3) years. After adjusting for established cardiovascular risk factors, eGFR [adjusted HR 0.98 (95% CI: 0.97-0.99)] and retinal arteriolar narrowing [adjusted HR 1.40 (95% CI: 1.17-1.68)], but not venular dilation, were independent predictors for CVD in CKD. The addition of eGFR and retinal features to established cardiovascular risk factors improved model discrimination with significantly better fit and better risk prediction according to the low (<15%), intermediate (15-29.9%), and high (30% or more) risk categories (NRI 5.8%), and with higher risk thresholds (NRI 12.7%).
CONCLUSIONS: Retinal vessel calibre measurements by DLS were significantly associated with incident CVD independent of established CVD risk factors. Addition of kidney function and retinal vessel calibre parameters may improve CVD risk prediction among Asians with CKD.",other,Not specified
38030951,Deep-learning-based survival prediction of patients with lower limb melanoma,"Zhang J, Yu H, Zheng X, Ming WK, Lak YS, Tom KC, Lee A, Huang H, Chen W, Lyu J, Deng L.",Discov Oncol. 2023 Nov 30;14(1):218. doi: 10.1007/s12672-023-00823-y.,Zhang J,Discov Oncol,2023,2023/11/29,PMC10686915,,10.1007/s12672-023-00823-y,"BACKGROUND: For the purpose to examine lower limb melanoma (LLM) and its long-term survival rate, we used data from the Surveillance, Epidemiology and End Results (SEER) database. To estimate the prognosis of LLM patients and assess its efficacy, we used a powerful deep learning and neural network approach called DeepSurv.
METHODS: We gathered data on those who had an LLM diagnosis between 2000 and 2019 from the SEER database. We divided the people into training and testing cohorts at a 7:3 ratio using a random selection technique. To assess the likelihood that LLM patients would survive, we compared the results of the DeepSurv model with those of the Cox proportional-hazards (CoxPH) model. Calibration curves, the time-dependent area under the receiver operating characteristic curve (AUC), and the concordance index (C-index) were all used to assess how accurate the predictions were.
RESULTS: In this study, a total of 26,243 LLM patients were enrolled, with 7873 serving as the testing cohort and 18,370 as the training cohort. Significant correlations with age, gender, AJCC stage, chemotherapy status, surgery status, regional lymph node removal and the survival outcomes of LLM patients were found by the CoxPH model. The CoxPH model's C-index was 0.766, which signifies a good degree of predicted accuracy. Additionally, we created the DeepSurv model using the training cohort data, which had a higher C-index of 0.852. In addition to calculating the 3-, 5-, and 8-year AUC values, the predictive performance of both models was evaluated. The equivalent AUC values for the CoxPH model were 0.795, 0.767, and 0.847, respectively. The DeepSurv model, in comparison, had better AUC values of 0.872, 0.858, and 0.847. In comparison to the CoxPH model, the DeepSurv model demonstrated greater prediction performance for LLM patients, as shown by the AUC values and the calibration curve.
CONCLUSION: We created the DeepSurv model using LLM patient data from the SEER database, which performed better than the CoxPH model in predicting the survival time of LLM patients.",transformer/generative,Not specified
37969363,A deep learning-based model (DeepMPM) to help predict survival in patients with malignant pleural mesothelioma,"Li W, Zhang M, Cai S, Li S, Yang B, Zhou S, Pan Y, Xu S.",Transl Cancer Res. 2023 Oct 31;12(10):2887-2897. doi: 10.21037/tcr-23-422. Epub 2023 Sep 22.,Li W,Transl Cancer Res,2023,2023/11/16,PMC10643950,,10.21037/tcr-23-422,"BACKGROUND: Malignant pleural mesothelioma (MPM) is a rare disease with limited treatment and poor prognosis, and a precise and reliable means to predicting MPM remains lacking for clinical use.
METHODS: In the population-based cohort study, we collected clinical characteristics from the Surveillance, Epidemiology, and End Results (SEER) database. According to the time of diagnosis, the SEER data were divided into 2 cohorts: the training cohort (from 2010 to 2016) and the test cohort (from 2017 to 2019). The training cohort was used to train a deep learning-based predictive model derived from DeepSurv theory, which was validated by both the training and the test cohorts. All clinical characteristics were included and analyzed using Cox proportional risk regression or Kaplan-Meier curve to determine the risk factors and protective factors of MPM.
RESULTS: The survival model included 3,130 cases (2,208 in the training cohort and 922 in the test cohort). As for model's performance, the area under the receiver operating characteristics curve (AUC) was 0.7037 [95% confidence interval (CI): 0.7030-0.7045] in the training cohort and 0.7076 (95% CI: 0.7067-0.7086) in the test cohort. Older age; male sex, sarcomatoid mesothelioma; and T4, N2, and M1 stage tended to be the risk factors for survival. Meanwhile, epithelioid mesothelioma, surgery, radiotherapy, and chemotherapy tended to be the protective factors. The median overall survival (OS) of patients who underwent surgery combined with radiotherapy was the longest, followed by those who underwent a combination of surgery, radiotherapy, and chemotherapy.
CONCLUSIONS: Our deep learning-based model precisely could predict the survival of patients with MPM; moreover, multimode combination therapy might provide more meaningful survival benefits.",other,Not specified
37920015,SEINN: A deep learning algorithm for the stochastic epidemic model,"Torku T, Khaliq A, Rihan F.",Math Biosci Eng. 2023 Aug 14;20(9):16330-16361. doi: 10.3934/mbe.2023729.,Torku T,Math Biosci Eng,2023,2023/11/03,,,10.3934/mbe.2023729,"Stochastic modeling predicts various outcomes from stochasticity in the data, parameters and dynamical system. Stochastic models are deemed more appropriate than deterministic models accounting in terms of essential and practical information about a system. The objective of the current investigation is to address the issue above through the development of a novel deep neural network referred to as a stochastic epidemiology-informed neural network. This network learns knowledge about the parameters and dynamics of a stochastic epidemic vaccine model. Our analysis centers on examining the nonlinear incidence rate of the model from the perspective of the combined effects of vaccination and stochasticity. Based on empirical evidence, stochastic models offer a more comprehensive understanding than deterministic models, mainly when we use error metrics. The findings of our study indicate that a decrease in randomness and an increase in vaccination rates are associated with a better prediction of nonlinear incidence rates. Adopting a nonlinear incidence rate enables a more comprehensive representation of the complexities of transmitting diseases. The computational analysis of the proposed method, focusing on sensitivity analysis and overfitting analysis, shows that the proposed method is efficient. Our research aims to guide policymakers on the effects of stochasticity in epidemic models, thereby aiding the development of effective vaccination and mitigation policies. Several case studies have been conducted on nonlinear incidence rates using data from Tennessee, USA.",other,Not specified
